"id","tier","wins","losses","freshblood","rank"
8085,"PLATINUM",48,42,1,3
8086,"PLATINUM",80,66,0,3
8087,"PLATINUM",26,26,0,3
8088,"PLATINUM",47,41,0,3
8089,"PLATINUM",50,43,0,3
8090,"PLATINUM",65,70,0,3
8091,"PLATINUM",60,70,0,3
8092,"PLATINUM",47,39,0,3
8093,"PLATINUM",87,103,0,3
8094,"PLATINUM",50,51,0,3
8095,"PLATINUM",67,67,0,3
8096,"PLATINUM",82,84,0,3
8097,"PLATINUM",61,47,0,3
8098,"PLATINUM",41,39,1,3
8099,"PLATINUM",41,35,0,3
8100,"PLATINUM",72,83,0,3
8101,"PLATINUM",28,23,0,3
8102,"PLATINUM",72,93,1,3
8103,"PLATINUM",45,44,0,3
8104,"PLATINUM",94,100,0,3
8105,"PLATINUM",65,67,0,3
8106,"PLATINUM",44,37,0,3
8107,"PLATINUM",30,23,0,3
8108,"PLATINUM",82,85,0,3
8109,"PLATINUM",52,65,0,3
8110,"PLATINUM",136,125,1,3
8111,"PLATINUM",24,20,0,3
8112,"PLATINUM",21,3,0,3
8113,"PLATINUM",52,52,0,3
8114,"PLATINUM",53,53,0,3
8115,"PLATINUM",28,20,0,3
8116,"PLATINUM",15,8,0,3
8117,"PLATINUM",28,19,0,3
8118,"PLATINUM",43,45,0,3
8119,"PLATINUM",46,51,0,3
8120,"PLATINUM",31,21,0,3
8121,"PLATINUM",23,17,0,3
8122,"PLATINUM",52,48,0,3
8123,"PLATINUM",45,40,0,3
8124,"PLATINUM",34,22,0,3
8125,"PLATINUM",45,37,0,3
8126,"PLATINUM",29,21,0,3
8127,"PLATINUM",35,33,0,3
8128,"PLATINUM",19,9,1,3
8129,"PLATINUM",27,18,0,3
8130,"PLATINUM",41,37,0,3
8131,"PLATINUM",55,57,0,3
8132,"PLATINUM",111,115,0,3
8133,"PLATINUM",137,136,0,3
8134,"PLATINUM",35,27,1,3
8135,"PLATINUM",46,46,0,3
8136,"PLATINUM",44,59,0,3
8137,"PLATINUM",52,50,0,3
8138,"PLATINUM",72,68,0,3
8139,"PLATINUM",97,90,0,3
8140,"PLATINUM",93,83,0,3
8141,"PLATINUM",93,94,0,3
8142,"PLATINUM",46,35,0,3
8143,"PLATINUM",33,22,1,3
8144,"PLATINUM",121,112,0,3
8145,"PLATINUM",17,7,1,3
8146,"PLATINUM",31,28,0,3
8147,"PLATINUM",50,47,0,3
8148,"PLATINUM",58,51,0,3
8149,"PLATINUM",62,68,0,3
8150,"PLATINUM",24,22,0,3
8151,"PLATINUM",76,71,0,3
8152,"PLATINUM",49,53,0,3
8153,"PLATINUM",45,44,0,3
8154,"PLATINUM",44,39,0,3
8155,"PLATINUM",30,27,0,3
8156,"PLATINUM",40,21,1,3
8157,"PLATINUM",139,145,0,3
8158,"PLATINUM",20,2,1,3
8159,"PLATINUM",27,24,0,3
8160,"PLATINUM",65,69,0,3
8161,"PLATINUM",41,37,0,3
8162,"PLATINUM",55,51,0,3
8163,"PLATINUM",267,270,0,3
8164,"PLATINUM",89,92,0,3
8165,"PLATINUM",95,103,0,3
8166,"PLATINUM",67,59,0,3
8167,"PLATINUM",74,62,0,3
8168,"PLATINUM",41,39,0,3
8169,"PLATINUM",62,51,0,3
8170,"PLATINUM",56,52,0,3
8171,"PLATINUM",87,100,0,3
8172,"PLATINUM",32,24,1,3
8173,"PLATINUM",28,15,0,3
8174,"PLATINUM",55,52,0,3
8175,"PLATINUM",50,47,0,3
8176,"PLATINUM",64,64,0,3
8177,"PLATINUM",32,25,0,3
8178,"PLATINUM",41,34,0,3
8179,"PLATINUM",26,24,0,3
8180,"PLATINUM",51,47,0,3
8181,"PLATINUM",75,64,0,3
8182,"PLATINUM",73,67,0,3
8183,"PLATINUM",23,12,0,3
8184,"PLATINUM",28,25,0,3
8185,"PLATINUM",46,47,0,3
8186,"PLATINUM",57,54,0,3
8187,"PLATINUM",57,58,0,3
8188,"PLATINUM",117,130,0,3
8189,"PLATINUM",28,21,0,3
8190,"PLATINUM",31,30,0,3
8191,"PLATINUM",22,13,0,3
8192,"PLATINUM",58,54,0,3
8193,"PLATINUM",21,11,0,3
8194,"PLATINUM",38,29,0,3
8195,"PLATINUM",90,105,0,3
8196,"PLATINUM",41,43,0,3
8197,"PLATINUM",36,35,0,3
8198,"PLATINUM",41,40,0,3
8199,"PLATINUM",60,53,0,3
8200,"PLATINUM",30,13,0,3
8201,"PLATINUM",23,23,0,3
8202,"PLATINUM",25,17,0,3
8203,"PLATINUM",53,63,0,3
8204,"PLATINUM",46,47,0,3
8205,"PLATINUM",43,36,0,3
8206,"PLATINUM",37,35,0,3
8207,"PLATINUM",61,65,0,3
8208,"PLATINUM",20,6,0,3
8209,"PLATINUM",71,73,0,3
8210,"PLATINUM",18,10,0,3
8211,"PLATINUM",19,16,1,3
8212,"PLATINUM",42,38,0,3
8213,"PLATINUM",30,26,0,3
8214,"PLATINUM",52,55,0,3
8215,"PLATINUM",61,62,0,3
8216,"PLATINUM",53,49,0,3
8217,"PLATINUM",20,14,0,3
8218,"PLATINUM",17,11,0,3
8219,"PLATINUM",28,23,0,3
8220,"PLATINUM",47,48,0,3
8221,"PLATINUM",33,32,1,3
8222,"PLATINUM",32,26,0,3
8223,"PLATINUM",85,91,0,3
8224,"PLATINUM",196,201,0,3
8225,"PLATINUM",92,101,0,3
8226,"PLATINUM",33,27,0,3
8227,"PLATINUM",75,83,0,3
8228,"PLATINUM",46,38,0,3
8229,"PLATINUM",21,21,0,3
8230,"PLATINUM",50,39,0,3
8231,"PLATINUM",46,44,0,3
8232,"PLATINUM",108,119,0,3
8233,"PLATINUM",35,29,0,3
8234,"PLATINUM",36,33,0,3
8235,"PLATINUM",62,59,0,3
8236,"PLATINUM",58,65,0,3
8237,"PLATINUM",39,33,0,3
8238,"PLATINUM",14,8,1,3
8239,"PLATINUM",79,80,0,3
8240,"PLATINUM",70,56,0,3
8241,"PLATINUM",137,152,0,3
8242,"PLATINUM",107,98,0,3
8243,"PLATINUM",32,26,1,3
8244,"PLATINUM",13,3,0,3
8245,"PLATINUM",31,31,0,3
8246,"PLATINUM",19,7,1,3
8247,"PLATINUM",42,28,0,3
8248,"PLATINUM",31,27,0,3
8249,"PLATINUM",53,61,0,3
8250,"PLATINUM",19,10,0,3
8251,"PLATINUM",41,33,0,3
8252,"PLATINUM",59,56,0,3
8253,"PLATINUM",39,29,0,3
8254,"PLATINUM",38,34,1,3
8255,"PLATINUM",97,93,0,3
8256,"PLATINUM",25,12,0,3
8257,"PLATINUM",14,10,0,3
8258,"PLATINUM",27,22,0,3
8259,"PLATINUM",55,54,0,4
8260,"PLATINUM",43,31,0,4
8261,"PLATINUM",34,24,1,4
8262,"PLATINUM",35,34,0,4
8263,"PLATINUM",114,112,1,4
8264,"PLATINUM",70,69,0,4
8265,"PLATINUM",60,63,0,4
8266,"PLATINUM",45,36,0,4
8267,"PLATINUM",57,54,0,4
8268,"PLATINUM",80,97,0,4
8269,"PLATINUM",36,35,0,4
8270,"PLATINUM",64,67,0,4
8271,"PLATINUM",117,114,0,4
8272,"PLATINUM",53,53,0,4
8273,"PLATINUM",21,18,0,4
